"","ID","URL","SIZE","DATA","TIME","DATASET"
"2","X1000","http://www.akcoach.com/screens.html","10429","12/07/2002","17:41:43","Sport"
"210999","X0999","http://www.inbnews.com/","5487","12/07/2002","17:41:43","Sport"
"210998","X0998","http://www.hawaiianwind.com/windsurfing/waveride/alex1.htm","5516","12/07/2002","17:41:42","Sport"
"210997","X0997","http://quiz.tennisfame.com/tennislinks.html","25876","12/07/2002","17:41:41","Sport"
"210996","X0996","http://www.basketballamerica.com/show_feature.html?article_id","52021","12/07/2002","17:41:41","Sport"
"210995","X0995","http://www.mensracing.com/news/01mayresults.html","34569","12/07/2002","17:41:40","Sport"
"210994","X0994","http://www.worldwidecycling.com/turkije-atb.htm","16619","12/07/2002","17:41:39","Sport"
"210993","X0993","http://www.baggressive.com/discus/messages/148/156.html?WednesdayFebruary2020020907pm","5091","12/07/2002","17:41:39","Sport"
"210992","X0992","http://www.ofah.org/index.cfm?Section","12913","12/07/2002","17:41:39","Sport"
"210991","X0991","http://www.watersports-extreme.com/cgi-bin/forum/YaBB.pl?board","7478","12/07/2002","17:41:38","Sport"
"210990","X0990","http://www.cyberhorse.net.au/barnes/StallionCimarron/index.htm","12473","12/07/2002","17:41:38","Sport"
"210989","X0989","http://www.pga.com/instruction","18730","12/07/2002","17:41:38","Sport"
"210988","X0988","http://www.imba.com/resources/trail_building/tough_trails.html","18706","12/07/2002","17:41:37","Sport"
"210987","X0987","http://www.powerbasketball.com/index1.html","22477","12/07/2002","17:41:37","Sport"
"210986","X0986","http://www.doordarshan.now.com/news/fullstory.sps?iNewsID","21766","12/07/2002","17:41:36","Sport"
"210985","X0985","http://www.eteamz.com/nohitter/sponsors/admin2/","21083","12/07/2002","17:41:34","Sport"
"210984","X0984","http://www.sas.it.mtu.edu/~dkwalika/frisbee/newhall.html","1004","12/07/2002","17:41:33","Sport"
"210983","X0983","http://www.wfdf.org/wggolferprofiles.htm","8754","12/07/2002","17:41:33","Sport"
"210982","X0982","http://www.bbhighway.com/Talk/Coaching_Box/Clinics/RunNJump/rj_intro.asp","21680","12/07/2002","17:41:32","Sport"
"210981","X0981","http://www.areaiii.equinebiz.com/","8909","12/07/2002","17:41:32","Sport"
"210980","X0980","http://www.huntguide.com/news.htm","9721","12/07/2002","17:41:31","Sport"
